dataset,marker_style,model,accuracy,rank
DA2k,default,Llama 4 Scout,73.7,1
DA2k,color_blue,Llama 4 Scout,72.7,2
DA2k,marker_square,Llama 4 Scout,72.7,1
DA2k,radius_3,Llama 4 Scout,74.4,1
DA2k,text_offset_below,Llama 4 Scout,70.9,1
DA2k,font_scale_0.2,Llama 4 Scout,71.9,2
DA2k,default,Gemini 2.5 Flash,71.4,2
DA2k,color_blue,Gemini 2.5 Flash,73.3,1
DA2k,marker_square,Gemini 2.5 Flash,72.1,2
DA2k,radius_3,Gemini 2.5 Flash,71.8,3
DA2k,text_offset_below,Gemini 2.5 Flash,70.2,2
DA2k,font_scale_0.2,Gemini 2.5 Flash,70.9,3
DA2k,default,Gemini 2.5 Pro,69.3,3
DA2k,color_blue,Gemini 2.5 Pro,72.3,3
DA2k,marker_square,Gemini 2.5 Pro,71.5,3
DA2k,radius_3,Gemini 2.5 Pro,72.2,2
DA2k,text_offset_below,Gemini 2.5 Pro,68.6,3
DA2k,font_scale_0.2,Gemini 2.5 Pro,73.4,1
DA2k,default,Qwen3-VL-8B,69.0,4
DA2k,color_blue,Qwen3-VL-8B,69.1,4
DA2k,marker_square,Qwen3-VL-8B,67.3,4
DA2k,radius_3,Qwen3-VL-8B,67.3,4
DA2k,text_offset_below,Qwen3-VL-8B,65.6,4
DA2k,font_scale_0.2,Qwen3-VL-8B,69.1,4
DA2k,default,GPT-4.1,64.3,5
DA2k,color_blue,GPT-4.1,64.3,5
DA2k,marker_square,GPT-4.1,62.6,5
DA2k,radius_3,GPT-4.1,64.7,5
DA2k,text_offset_below,GPT-4.1,64.5,5
DA2k,font_scale_0.2,GPT-4.1,64.6,5
DA2k,default,InternVL3-8B,62.8,6
DA2k,color_blue,InternVL3-8B,62.7,6
DA2k,marker_square,InternVL3-8B,61.4,7
DA2k,radius_3,InternVL3-8B,63.1,7
DA2k,text_offset_below,InternVL3-8B,61.5,6
DA2k,font_scale_0.2,InternVL3-8B,59.9,7
DA2k,default,Qwen2.5-VL-7B,61.3,7
DA2k,color_blue,Qwen2.5-VL-7B,58.0,8
DA2k,marker_square,Qwen2.5-VL-7B,62.4,6
DA2k,radius_3,Qwen2.5-VL-7B,60.3,8
DA2k,text_offset_below,Qwen2.5-VL-7B,60.9,7
DA2k,font_scale_0.2,Qwen2.5-VL-7B,59.7,8
DA2k,default,GPT-4o,61.1,8
DA2k,color_blue,GPT-4o,61.1,7
DA2k,marker_square,GPT-4o,60.8,8
DA2k,radius_3,GPT-4o,64.1,6
DA2k,text_offset_below,GPT-4o,59.7,8
DA2k,font_scale_0.2,GPT-4o,62.1,6
DA2k,default,Gemma 3-4B,50.5,9
DA2k,color_blue,Gemma 3-4B,51.7,9
DA2k,marker_square,Gemma 3-4B,50.2,9
DA2k,radius_3,Gemma 3-4B,50.7,9
DA2k,text_offset_below,Gemma 3-4B,52.8,9
DA2k,font_scale_0.2,Gemma 3-4B,51.4,9
SPair,default,Gemini 2.5 Pro,65.0,1
SPair,color_blue,Gemini 2.5 Pro,62.9,1
SPair,marker_square,Gemini 2.5 Pro,64.2,1
