dataset,model,marker_style,accuracy,rank
BLINK Relative Depth,Gemini 2.5 Pro,default,77.64705882352942,2
BLINK Relative Depth,Gemini 2.5 Flash,default,77.64705882352942,2
BLINK Relative Depth,Llama 4 Scout,default,89.41176470588236,1
BLINK Relative Depth,GPT-4o,default,71.76470588235294,7
BLINK Relative Depth,Qwen3-VL-8B,default,76.47058823529412,4
BLINK Relative Depth,Qwen2.5-VL-7B,default,70.58823529411765,8
BLINK Relative Depth,InternVL3-8B,default,76.47058823529412,4
BLINK Relative Depth,Gemma 3-4B,default,52.94117647058824,9
BLINK Relative Depth,GPT-4.1,default,75.29411764705883,6
BLINK Relative Depth,Gemini 2.5 Pro,color blue,83.52941176470588,2
BLINK Relative Depth,Gemini 2.5 Flash,color blue,81.17647058823529,3
BLINK Relative Depth,Llama 4 Scout,color blue,90.58823529411764,1
BLINK Relative Depth,GPT-4o,color blue,74.11764705882354,6
BLINK Relative Depth,Qwen3-VL-8B,color blue,78.82352941176471,4
BLINK Relative Depth,Qwen2.5-VL-7B,color blue,61.1764705882353,8
BLINK Relative Depth,InternVL3-8B,color blue,67.05882352941175,7
BLINK Relative Depth,Gemma 3-4B,color blue,57.647058823529406,9
BLINK Relative Depth,GPT-4.1,color blue,78.82352941176471,4
BLINK Relative Depth,Gemini 2.5 Pro,font scale 0.2,82.35294117647058,2
BLINK Relative Depth,Gemini 2.5 Flash,font scale 0.2,80.0,3
BLINK Relative Depth,Llama 4 Scout,font scale 0.2,90.58823529411764,1
BLINK Relative Depth,GPT-4o,font scale 0.2,75.29411764705883,6
BLINK Relative Depth,Qwen3-VL-8B,font scale 0.2,76.47058823529412,5
BLINK Relative Depth,Qwen2.5-VL-7B,font scale 0.2,55.294117647058826,8
BLINK Relative Depth,InternVL3-8B,font scale 0.2,71.76470588235294,7
BLINK Relative Depth,Gemma 3-4B,font scale 0.2,49.41176470588236,9
BLINK Relative Depth,GPT-4.1,font scale 0.2,80.0,3
BLINK Relative Depth,Gemini 2.5 Pro,marker type square,84.70588235294117,2
BLINK Relative Depth,Gemini 2.5 Flash,marker type square,76.47058823529412,5
BLINK Relative Depth,Llama 4 Scout,marker type square,90.58823529411764,1
BLINK Relative Depth,GPT-4o,marker type square,75.29411764705883,6
BLINK Relative Depth,Qwen3-VL-8B,marker type square,77.64705882352942,3
BLINK Relative Depth,Qwen2.5-VL-7B,marker type square,67.05882352941175,7
BLINK Relative Depth,InternVL3-8B,marker type square,63.52941176470588,8
BLINK Relative Depth,Gemma 3-4B,marker type square,55.294117647058826,9
BLINK Relative Depth,GPT-4.1,marker type square,77.64705882352942,3
BLINK Relative Depth,Gemini 2.5 Pro,radius 3,76.47058823529412,3
BLINK Relative Depth,Gemini 2.5 Flash,radius 3,80.0,2
BLINK Relative Depth,Llama 4 Scout,radius 3,90.58823529411764,1
BLINK Relative Depth,GPT-4o,radius 3,74.11764705882354,5
BLINK Relative Depth,Qwen3-VL-8B,radius 3,70.58823529411765,6
BLINK Relative Depth,Qwen2.5-VL-7B,radius 3,70.58823529411765,6
BLINK Relative Depth,InternVL3-8B,radius 3,69.41176470588235,8
BLINK Relative Depth,Gemma 3-4B,radius 3,56.47058823529412,9
